RoadCategory,LinkLength_km,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,AllMotorVehicles
PU,0.7,4277,16549,1104,3341,26274
PU,0.5,2421,25783,706,4062,34206
PU,1.3,753,6856,1032,1465,10295
PU,1.5,929,14699,1261,2236,19530
PU,1.6,989,10864,554,2035,14692
PU,0.8,1774,15312,1466,4387,23486
PU,1.1,520,11168,269,2503,15128
PU,0.6,644,22119,1259,3646,28355
PU,1.5,1038,11643,1278,2207,16567
PU,0.3,616,17819,1099,2443,22652
PU,3.5,161,14883,177,1938,17637
PU,0.7,251,14945,359,2041,17870
PU,1.3,1201,8891,1721,1934,14558
PU,0.8,1194,8174,1009,1552,12517
PU,0.3,913,9849,1558,1604,14567
PU,0.2,1627,15645,1060,2644,21897
PU,0.4,2217,9973,886,2601,16040
PU,1.9,203,20452,374,2481,24292
PU,2.8,240,14884,99,2428,18230
PU,0.9,708,8165,2295,1189,12701
PU,1.2,66,12262,92,1434,13983
PU,1.6,332,16213,815,3213,21073
PU,0.7,1449,20465,975,4725,28716
PU,0.7,927,21280,1526,2989,27087
PU,1.5,244,20911,466,1586,23457
PU,2.2,61,12113,196,1732,14319
PU,0.8,763,7344,312,2470,11292
PU,3.6,215,13136,225,1904,15828
PU,0.5,1908,9732,2873,2156,17129
TM,0.2,311,43185,535,8145,54884
PU,0.2,912,26126,1058,2673,31439
PU,0.5,427,25672,124,3597,30557
PU,0.2,572,5849,145,1422,8299
PU,0.3,818,6780,1060,1521,10711
PU,0.1,507,6916,477,1335,9571
PU,0.2,3051,24394,852,7012,37273
PU,0.5,1586,13882,99,2153,18437
PU,0.2,497,7478,471,1379,10104
PU,0.2,244,15043,702,2216,18634
PU,0.2,1049,25150,2632,3042,32645
PU,0.5,245,1574,8,591,2532
PU,0.1,696,8906,668,1894,12435
PU,0.3,786,6415,729,965,9291
PU,0.3,1102,9058,2015,1375,13996
PU,0.5,176,11083,742,2300,15565
PU,0.5,1470,8813,1143,2109,14018
PU,0.5,380,17463,316,2599,21010
PU,0.4,1740,17509,877,2325,22763
PU,1.8,683,10449,828,1632,13947
PU,0.2,4659,27962,1574,6429,43107
