RoadCategory,LinkLength_km,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,AllMotorVehicles
PR,2.5,119,13907,46,2045,17341
PR,2.4,128,20094,74,3874,24914
PR,0.9,320,19579,206,3539,24814
PR,0.4,283,27792,237,5477,35242
PR,1.7,338,16489,295,3229,21679
PR,0.4,220,18520,272,3022,22632
PR,1.7,92,6795,235,1446,8728
PU,1,258,22851,77,2065,25734
PU,0.9,1081,29674,930,4254,37495
PU,0.7,1268,26882,1060,5756,36785
PU,0.6,196,2737,0,590,3573
PU,1,206,8354,262,768,10100
PU,1.4,527,16638,654,2429,20733
PU,0.5,207,16611,975,2771,21116
PU,0.6,1504,9043,1119,2566,14918
PU,1.8,275,10337,295,1603,12687
PU,1.2,121,5387,454,1175,7239
PU,0.3,190,5972,461,1489,8636
PU,1.4,134,17537,382,507,18676
PU,0.3,79,2266,201,269,2849
PU,0.2,90,2557,223,358,3266
PU,0.6,258,13747,294,3189,18788
PU,0.8,63,3719,115,2106,6929
PU,0.4,578,8968,482,1572,12030
PU,0.3,27,19,435,39,520
PU,0.2,151,7437,83,1500,9439
PU,0.3,166,5365,405,1608,8160
PU,0.3,53,600,0,71,743
PU,0.2,465,9276,493,2085,13461
PU,0.3,574,13830,449,3434,19659
PU,0.2,2053,12986,4095,2798,22545
PU,0.1,2952,15117,4975,4505,28159
PU,0.7,759,4633,177,975,6621
PU,0.2,1865,8486,1097,2574,14633
PU,3.2,1379,10552,1015,2638,16444
PU,0.8,572,13864,304,3642,19542
PU,0.1,183,3784,109,1148,5581
PU,0.2,199,5008,220,643,6207
PU,0.4,154,3640,189,526,4642
PU,0.4,102,2723,163,385,3479
PU,1.9,97,7210,368,831,8689
PU,0.3,322,15469,902,2139,19390
PU,0.4,627,17381,683,3291,23379
PU,0.5,439,12365,1457,1680,16262
PU,0.9,495,12069,125,1467,14358
PU,0.6,64,1527,1784,309,3739
PU,0.3,64,1527,1784,309,3739
PU,0.2,129,2325,400,441,3391
PU,0.3,695,38567,945,8432,51304
PU,1.5,1245,79361,423,17803,105855
PU,0.5,249,15872,85,3561,21171
PU,0.6,390,14909,140,3865,20662
PU,1.3,1559,59637,559,15459,82649
PU,0.5,407,17814,614,3119,22692
PU,0.4,81,3563,123,624,4538
PU,0.8,325,14252,491,2496,18154
PU,0.4,97,2129,22,340,2651
PU,1.6,487,10647,110,1699,13255
PU,0.4,1948,74546,699,19323,103311
TU,1.3,337,27401,161,4735,35340
PR,1.9,191,22190,218,4674,28159
PU,3.1,111,32495,374,3154,36503
PU,0.7,294,18786,153,2993,22775
PU,0.6,753,32025,222,5944,40789
PU,0.5,1716,56946,197,14383,83224
PU,0.4,78,4065,9,298,4567
PU,1.3,390,15036,370,2066,18289
PU,0.9,392,20497,330,2271,24159
PU,0.5,519,20689,723,2649,24998
PU,0.5,89,4333,12,550,5026
PU,0.6,1958,79028,375,13649,97482
PU,2.1,2253,71088,573,18259,102800
PU,1.4,1511,57336,232,13755,83209
PU,1.8,416,20313,263,5043,29469
TM,4.1,530,37894,344,7747,50033
TM,6.8,990,53020,568,11209,70295
TM,2.9,1249,108494,961,18699,135362
PU,2.1,1882,69380,415,16351,93568
PU,0.2,1679,21293,1513,3962,29789
PU,0.5,1914,90305,420,17467,117054
PR,1.8,805,44682,419,9324,58350
PU,0.9,906,6855,394,2220,10755
PU,0.6,1501,20895,1339,4372,30081
PU,0.2,1399,25658,478,4507,34749
PR,1.3,1493,79544,477,18206,104286
PU,0.4,1505,7394,1315,2906,13651
PU,0.9,2400,13628,1119,4908,22978
PU,0.6,1206,18362,723,2635,24254
PU,0.3,2243,28679,812,6260,38908
PU,0.3,1349,21214,2200,3533,28986
PU,0.9,2718,27372,2859,5597,39881
PU,1.7,1712,44285,1009,6127,54812
PU,1.1,985,33444,434,5414,41827
PU,0.6,270,29433,635,2999,34152
PU,1.5,211,14134,318,1909,16887
PU,2,403,10712,108,1651,13203
PU,0.6,1224,24007,2495,5236,34126
PU,0.9,575,22903,625,4026,29060
PU,0.1,1776,13828,2618,3519,22983
PU,2.6,413,16179,308,1752,19090
PU,1.5,1840,25366,1510,4858,34877
PU,0.2,2876,29880,807,7279,43606
PU,1.6,652,18932,1310,3005,24751
PU,2.1,1095,20146,138,4848,26985
PU,1.9,589,23382,1037,2487,28089
PU,1.7,1463,10804,1985,2089,16968
PU,0.2,1143,18187,2510,3103,25711
PU,0.1,532,27588,296,5467,35604
PU,0.5,1132,12068,1260,1938,17066
PU,0.8,87,1231,4528,170,6050
PU,1.1,577,11013,1126,2015,15686
PU,2.3,1844,92109,501,18357,121229
PU,2.1,1514,50329,1035,10654,65827
PU,0.5,581,8008,1384,1024,11391
PU,0.4,1295,16901,891,5397,25038
PU,0.9,393,16324,823,2175,20143
PU,0.3,807,16761,3033,3125,24492
PU,0.9,756,6738,1599,1643,11092
PU,0.8,164,12139,474,1496,14527
PU,0.4,1253,24110,1040,2149,29180
PU,1,353,10277,966,1659,13609
PU,0.9,380,11956,836,2723,16418
PU,2.3,119,17692,477,2894,21544
PU,0.5,126,11026,139,1668,13369
PU,1,152,17503,1043,2436,21823
PU,1.9,130,11325,1207,1419,14596
PU,0.8,94,12922,1442,1186,15918
PU,0.6,363,27447,446,2665,31788
PU,0.8,56,7814,833,1143,9958
PU,1.6,220,20123,1063,1888,23796
PU,2.3,84,12631,851,1324,15192
PU,0.6,300,21577,657,1889,25045
PU,1,1116,24447,21,5975,32055
PU,1,439,10860,456,3416,15540
PU,0.3,965,8101,807,1695,12012
PU,0.3,4654,27885,1309,5538,40826
PU,0.9,1037,13450,1588,3433,20418
PU,0.7,75,5164,815,828,6982
PU,0.6,591,27486,344,5439,36237
PU,0.8,843,21783,1018,4763,29826
PU,1.1,671,16314,555,2286,20620
PU,0.6,997,25499,690,5425,33864
PU,1.3,295,10584,1603,1983,14731
PU,0.5,417,7384,589,1212,9898
PU,0.3,186,16076,304,2799,19894
PU,0.9,267,12214,693,1763,15103
PU,4.7,196,13026,294,2085,15867
PU,2,107,7133,240,839,8525
PU,0.2,382,23183,504,3728,28352
PU,2.2,203,9930,299,1498,12255
PU,0.6,275,13057,388,2008,16104
PU,0.9,193,16685,187,2546,20066
PU,4.2,634,17064,897,2670,21637
PU,0.3,1250,16700,1879,2876,23394
PU,3.4,156,9534,293,1783,12170
PU,1.1,119,11850,80,1739,14083
PU,0.3,81,15697,692,1717,18418
PU,1,454,21621,167,3248,25775
PR,3.3,759,12581,420,6680,22100
PU,1.2,184,14673,103,2421,17797
PU,1,216,18845,230,3168,23401
PU,1,102,10258,95,1239,11975
PU,1.3,578,13419,1116,2085,18021
PU,3.5,206,14576,706,2392,18193
PU,1.5,460,31384,315,5264,38699
PU,3.1,228,16263,949,2837,20643
PU,3.4,252,10559,168,1654,12958
PU,0.5,683,4076,484,1026,7189
PU,0.2,1609,8420,5362,3516,20024
PU,1.7,254,8410,571,1703,11081
PU,0.8,366,11008,721,1554,14037
PU,0.3,262,4523,979,1023,6938
PU,1.5,619,10687,526,1520,13788
PU,0.2,561,18125,272,3117,22534
PU,1.2,233,19962,251,1551,22539
PU,1.4,226,12821,180,1118,14578
PU,0.9,179,11143,477,1614,13556
PU,2,134,12911,336,1870,15878
PU,0.2,448,23236,322,2845,27345
PU,1.7,1224,12302,1510,2190,18154
PU,0.8,673,9164,1197,2052,13343
PU,0.2,1051,25610,609,2160,30920
PU,1.1,230,13481,696,1138,15878
PU,1,1000,54033,342,7919,64615
PU,0.6,1611,29633,397,5744,38031
PU,0.2,739,8536,1188,2055,13008
PU,0.9,1560,23544,1895,4079,32230
PU,0.5,1136,14980,1285,4091,21904
PU,1.9,54,14098,62,1463,15942
PU,0.7,176,23503,149,2173,26496
PU,0.5,371,18702,879,2334,22758
PU,1.5,492,15590,641,2527,20262
PU,1.1,1805,71088,192,18320,99905
PU,0.7,782,37387,239,8346,50752
PU,1.7,1108,91047,584,19451,120954
PU,0.5,237,7783,567,1803,10906
PU,1.8,328,13666,778,2662,18142
PU,3.2,155,10641,828,1481,13384
PU,2.2,186,19915,355,2365,23542
PU,0.6,1421,17324,1567,3989,25622
PU,1.6,258,6950,1189,950,9571
PU,0.3,1196,20270,2040,4607,29247
PU,0.3,1134,12850,1019,3170,18911
PU,0.2,1792,20778,1207,4997,29874
PU,1.4,301,20847,633,2631,24842
PU,0.7,55,12078,238,707,13229
PU,0.8,371,8122,153,2015,10977
PU,0.5,370,11125,773,2009,14529
PU,1.7,678,21308,396,2425,25409
PU,2.4,113,9452,280,1710,12153
PU,0.5,92,10920,2074,1279,14750
PU,2.8,120,10925,697,1611,13796
PU,0.7,1393,11020,232,2502,15818
PU,2.2,710,10039,1083,2405,14732
PU,1.6,333,11455,826,2394,15857
PU,1.7,284,19055,392,3986,24490
PU,0.3,350,2594,33,776,3971
PU,1.4,307,10448,484,1453,12987
PU,0.6,266,14487,546,1448,17143
PU,2.8,330,14548,242,2402,18158
PU,0.7,150,11673,169,1150,13255
PU,0.9,1948,12717,864,4182,20485
PU,0.8,435,12567,1402,2363,17191
PR,2.2,200,10187,355,1539,12664
PU,0.2,595,4788,1517,2007,9419
PU,0.2,284,5876,250,1247,7902
PU,0.3,1055,10776,1074,3935,17625
PU,0.2,1372,14341,1412,3045,21513
PU,0.7,4025,16542,1126,3652,26470
PU,0.5,2066,25608,639,4451,34204
PU,1.3,642,6809,935,1605,10212
PU,1.5,814,15259,1068,2135,19599
PU,1.6,844,10790,502,2230,14659
PU,0.8,1515,15208,1327,4807,23495
PU,1.1,431,11237,263,2431,15066
PU,0.6,534,22254,1233,3542,28285
PU,1.5,886,11563,1157,2418,16494
PU,0.3,511,17928,1077,2373,22601
PU,3.5,133,14974,173,1883,17668
PU,0.7,208,15037,352,1982,17862
PU,1.3,1025,8830,1558,2119,14480
PU,0.8,1124,8171,1029,1697,12677
PU,0.3,780,9782,1410,1758,14465
PU,0.2,1388,15538,959,2898,21845
PU,0.4,1892,9905,802,2850,15875
PU,1.9,169,20578,367,2410,24334
PU,2.8,199,14975,97,2359,18237
PU,0.9,666,8162,2339,1300,12858
PU,1.3,280,27569,157,4599,35324
PU,1.2,55,12337,90,1393,14009
PU,1.6,284,16103,738,3521,21231
PU,0.7,1237,20326,883,5178,28902
PU,0.7,1140,19682,1486,3065,26159
PU,1.5,202,21039,456,1541,23503
PU,2.2,51,12187,192,1683,14341
PU,0.8,651,7294,282,2707,11406
PU,3.6,178,13217,221,1850,15829
PU,0.5,1628,9665,2601,2363,16798
TM,0.2,314,42869,532,7749,54111
PU,0.2,756,26286,1036,2597,31377
PU,0.5,354,25830,121,3494,30562
PU,0.2,488,5809,131,1559,8351
PU,0.3,698,6734,959,1667,10672
PU,0.1,433,6822,440,1408,9491
PU,0.2,2604,24227,771,7684,37569
PU,0.5,1354,13787,90,2360,18416
PU,0.2,424,7427,426,1511,10113
PU,0.2,208,14940,636,2429,18708
PU,0.2,895,24979,2382,3333,32500
PU,0.5,209,1563,7,647,2561
PU,0.1,594,8845,605,2076,12437
PU,0.3,671,6372,660,1057,9218
PU,0.3,1037,9055,2054,1503,14153
PU,0.5,146,11151,727,2234,15569
PU,0.3,1315,57149,285,12721,76079
PU,0.5,1254,8753,1035,2311,13922
PU,0.5,315,17570,309,2525,20981
PU,0.4,1443,17616,859,2259,22504
PU,1.8,583,10378,750,1789,13914
PU,0.2,3976,27772,1425,7045,43100
PU,0.6,2602,86622,322,16200,108096
PU,1,412,14382,416,2341,18036
PU,0.3,736,10689,387,3069,15459
PU,0.3,817,4162,1304,1483,8055
PU,0.1,445,13960,1271,2589,18822
PU,0.2,118,2215,470,428,3389
PU,0.2,297,20724,1459,3401,27032
PU,0.6,664,14943,378,3383,20144
PU,0.2,339,9937,673,1587,12942
PU,0.2,2200,18127,1158,3637,26559
PU,1.7,755,11474,502,3417,16772
PU,2,139,15722,94,1711,17953
PU,1.1,456,18023,357,2674,21992
PU,0.9,448,23236,322,2845,27345
PU,0.4,1921,15718,504,2711,21790
PU,1.7,297,7513,1173,1476,10634
PU,1.4,2598,61113,1132,13600,82508
PU,0.2,3186,13535,3848,3813,25038
PU,0.3,225,10712,108,1796,13169
PU,0.1,342,30909,938,2648,35564
PU,0.3,96,3206,0,296,3663
PU,0.9,250,27680,1242,3016,32766
PU,0.2,706,8520,745,1858,12461
PU,0.3,176,30186,727,3002,34640
PU,0.7,528,25771,357,6977,36005
PR,1.1,112,18692,40,4575,24428
PU,1.6,154,14051,140,2965,17936
PU,0.2,176,14665,175,1646,17537
PU,0.6,2817,34650,1066,6783,48811
PU,0.2,683,4076,484,1026,7189
PU,0.1,228,11129,235,1633,13520
PU,0.4,71,4854,207,806,6149
PU,1.4,146,12805,157,1275,14494
PU,0.1,368,17939,417,2957,22560
PU,0.7,116,8254,1149,853,10508
PU,2.3,775,29387,414,5046,37182
PU,0.5,496,19642,763,2191,23728
PU,2.7,144,6019,651,795,7824
PU,0.7,566,16508,1128,3132,22069
TM,2.6,1036,116075,802,20683,144394
PU,1.2,992,10965,1256,2440,16229
PU,1.8,1400,16759,1359,4132,24879
PU,0.1,1543,28144,1084,4414,37425
PU,0.2,2005,8084,3247,2758,16690
PU,1.3,1465,11048,555,2689,16308
PU,0.9,847,11552,888,2751,17192
PU,1.9,1320,87667,357,14888,107814
PU,0.7,1131,15995,3210,2037,22873
PU,0.7,3791,59726,3851,12328,83095
PU,2.5,700,35329,418,4912,42409
PU,1.1,195,15708,1637,1334,19344
PU,0.8,399,21462,1134,2353,26016
PU,0.6,1963,33219,5730,8268,51656
PR,0.4,503,46527,54,7553,58533
PU,0.6,248,11784,824,1990,15324
PU,1.3,958,7199,1389,1920,11910
PU,0.6,1343,7835,2363,1970,14349
PU,0.3,279,18091,234,2004,20944
PU,1.1,945,12296,1603,1964,18175
PU,1.6,985,27922,260,3198,33864
PU,2,3428,89905,423,20108,121833
PU,0.8,1678,18212,813,4481,26175
PU,1.8,960,11265,845,2657,16186
PU,2.3,1001,27831,196,6138,36475
PR,3.7,144,19970,75,4168,25736
PU,0.3,1181,8901,923,2281,13639
PU,2.4,640,13991,393,2511,18181
PU,2.1,1334,11528,818,2675,17137
PU,0.4,683,16532,380,3329,21510
PU,0.3,263,1785,2126,431,4741
PU,0.2,1250,17209,2814,3923,26059
PU,0.2,2918,63957,873,13483,86468
PU,2.5,1351,84961,667,15935,109153
PU,1.5,752,35069,466,6426,45227
PU,2.5,1570,34606,1924,6814,46617
PU,0.5,447,10406,1138,1587,13956
PU,0.4,1262,19136,1275,5124,28143
PU,0.3,577,13273,266,2078,16565
PU,0.9,959,12586,1036,2385,17562
PU,1.2,187,19518,242,2142,24135
PU,0.5,269,13179,742,1930,16629
PU,0.5,265,12466,2494,2646,18910
PU,1.3,162,12465,889,2099,15889
PU,1.1,106,7143,258,1041,8639
PU,0.8,100,10352,361,1787,13052
PU,1.9,139,13889,108,1650,16146
PU,1.9,142,9657,389,1073,11441
PU,0.9,227,15444,536,1741,18287
PU,2,118,11999,204,1115,13689
PU,1.5,117,17057,706,1387,19537
PU,2.1,86,13053,460,1777,15744
PU,0.9,197,19943,1354,2314,24320
PU,0.8,1096,14457,854,3832,20918
PU,0.4,1759,15943,321,2817,22038
PU,0.9,1747,9189,863,2856,15229
PU,1.7,936,16114,2030,3266,22991
PU,2.1,583,11762,776,1943,15416
PU,1.9,224,12702,641,1683,16061
PU,2.2,511,19919,340,2952,25070
PU,1.4,793,20880,167,3143,25621
PU,2.3,878,16665,461,3006,22144
PU,2.3,506,19945,853,4316,26784
PU,2.2,535,16568,343,2421,20336
PU,1.2,279,12163,466,2341,15437
PU,1.2,145,15306,627,1857,18134
PU,0.3,507,20695,866,3787,26055
PU,1.3,132,5933,279,1066,7503
PU,0.3,158,9126,70,1729,11649
PU,1.6,509,14005,541,2227,17815
PU,0.5,2253,24626,2556,3868,34294
PU,0.1,292,15280,546,1888,18476
PU,0.5,810,12781,1918,1762,17705
PU,0.4,66,4767,988,465,6356
PU,0.6,172,18898,770,2213,22315
PU,1.3,267,16163,435,2696,19921
PU,1.7,242,13332,485,2626,17223
PU,2.3,322,21972,508,3465,27099
PU,1.4,81,8591,133,1433,10420
PU,1.6,289,11286,507,1970,14266
PU,1.1,483,16340,267,3217,21210
PU,1.9,469,13415,509,2505,17537
PU,0.3,199,12791,58,2106,16077
PU,1.2,232,11764,489,1431,14069
PU,2,322,15668,212,2779,19373
PU,0.5,418,2825,347,927,5064
PU,0.4,741,7737,5223,2549,16872
PU,0.7,238,11448,820,2246,15008
PU,2,413,16775,278,2237,20257
PU,1.8,1017,13165,1174,1937,17925
PU,0.2,785,35450,1105,4622,42611
PU,1.6,393,13541,273,1050,15462
PU,1.1,390,8993,267,1437,11382
PU,0.8,273,12460,318,2227,15811
PU,0.7,362,18729,895,2954,23555
PU,0.9,174,12321,56,1208,14012
PU,1.4,1060,12459,1335,1928,17092
PU,0.8,577,11237,1091,1915,15266
PU,0.6,1202,35512,269,6042,43950
PU,1.9,284,13034,523,1958,16233
PU,1.4,856,9361,1115,2257,14148
PU,0.2,1040,10601,1088,2414,15635
PU,0.2,912,4228,1469,1692,8695
PU,1.4,438,34280,298,3316,39159
PU,0.5,181,13165,1442,2054,17232
PU,1.1,976,13931,1066,2561,19307
PU,1.3,805,22791,51,4913,30786
PU,1.9,1581,83369,487,17508,111689
PU,1,1249,60153,393,12219,78591
PU,1.7,1145,48372,739,11120,65727
PU,1.4,1305,109351,580,23722,143179
PU,1.3,317,7771,458,1655,10632
PU,1.8,30,8778,303,1281,10606
PU,0.4,70,22751,216,3387,27265
PU,2.6,80,12368,705,1315,14750
PU,0.7,1094,9250,1781,2273,14575
PU,0.4,2997,38967,2304,8152,54358
PU,0.4,334,5314,708,1579,8239
PU,1.3,523,12944,711,2998,18471
PU,0.4,696,11953,1176,2768,17395
PU,1.7,179,7326,514,1316,9823
PU,1.7,163,10947,201,1530,12990
PU,1,66,13801,559,1898,16576
PU,0.3,280,5691,212,652,7087
PU,2,493,14708,800,2090,18488
PU,1.1,241,20523,957,2356,24720
PU,1.1,664,25673,394,3254,30514
PU,0.9,168,13193,596,1674,15824
PU,1.9,117,14100,264,1753,16587
PU,3.8,129,13079,372,1769,15759
PU,2.9,46,11433,302,1437,13353
PU,1.1,264,19356,361,3184,24248
PU,0.4,939,9758,66,2063,13215
PU,1.1,614,9382,875,2926,14548
PU,2.8,186,8427,129,1005,10012
PU,1.6,349,14729,832,2098,18324
PU,1.8,260,23257,286,3027,27591
PU,0.3,98,7191,191,1120,8983
PU,0.6,235,12087,177,1324,14041
PU,0.7,86,12093,774,1627,14870
PU,0.5,1851,14970,1572,2530,21528
PU,1,446,11336,1697,1577,15828
PU,1,152,10224,176,1730,12528
PU,0.2,1629,11791,1793,3549,19833
PU,1.4,2948,28007,807,6600,39406
PU,0.2,1743,23001,1221,5202,32207
PU,1.6,3354,22159,337,5818,33234
PU,1.1,1022,9389,1650,1784,14293
PU,0.2,1227,24758,3345,5003,35717
PU,0.4,537,7758,1150,1525,11292
PU,0.7,1102,20155,673,5585,28462
PU,0.1,708,11611,418,3284,16212
PU,0.4,247,7054,994,1689,10812
PU,0.2,455,12507,262,5000,19592
PU,1.2,118,8685,248,898,10166
PU,1.2,370,10380,734,2401,14374
PU,1.4,368,27651,686,3755,33388
PU,1.9,217,11848,269,1295,13971
PU,3.1,116,16944,269,2496,20364
PU,2.3,55,8714,162,573,9597
PU,3.6,347,12057,288,1780,14921
PU,0.3,1879,18102,3712,5319,29754
PU,0.9,1072,10427,2888,2509,17501
PU,1.4,4142,67242,5871,10837,91425
PU,0.7,307,4443,1313,941,7238
PU,0.3,555,12479,847,2383,16611
PU,1.9,134,13667,681,1596,16201
PU,1.7,211,16009,170,1247,17915
PU,1.8,180,11183,186,1215,13014
PU,0.2,468,9162,282,980,11228
PU,0.8,594,8845,605,2076,12437
PU,0.3,870,7422,709,2540,12280
PU,0.5,1236,8334,1136,2213,13748
PU,2.3,347,22073,145,1467,24384
PU,1.8,76,15578,409,2261,19134
PU,0.1,952,23727,1124,3861,30841
PU,0.4,127,25714,710,2825,29762
TM,4.6,591,70475,269,14758,106910
PU,0.6,1065,13327,308,2591,17986
PU,0.3,667,13930,564,1474,17091
PU,0.3,168,7357,1458,1684,10960
PU,1,142,16191,202,3053,20609
PU,0.3,857,9760,226,3180,14656
PU,0.1,2856,46568,2968,7844,62355
PU,0.2,2030,10126,1583,2784,17497
PU,0.4,700,8895,157,1233,11270
PU,0.3,1313,4959,59,1778,8349
PU,0.5,585,26272,1768,3797,32920
PU,0.2,94,6463,76,1095,7962
PU,1.1,89,11548,42,1529,13741
PU,0.1,1017,13165,1174,1937,17925
PU,0.6,165,9546,105,1484,11916
PU,1.1,1019,18570,1620,2967,24717
PU,0.1,1447,14954,1552,3215,22434
PU,0.2,146,4701,532,1105,6710
PU,0.3,461,11466,417,1913,14661
PU,0.2,712,11619,970,1668,15295
PU,0.1,874,16407,1458,2249,21683
PU,0.2,659,19607,1364,3513,25609
PU,1.2,318,22477,948,2463,26760
PU,0.4,938,11774,578,3709,17731
PU,0.1,314,9959,650,1805,13704
PU,0.2,4729,52436,2200,10655,72594
PU,0.2,561,27337,636,4507,34378
PU,0.3,992,8512,543,1486,11802
PU,0.1,2390,21181,1913,4507,31500
PU,0.3,895,8335,595,1983,12036
PU,0.2,1799,22473,3207,4270,32543
PU,0.3,893,20114,823,3063,25622
PU,0.2,853,16590,625,3440,22093
PU,0.1,2040,12674,2833,2891,21143
PU,1.8,792,18327,505,3702,24517
PU,0.3,4055,25106,1389,7215,42234
PU,0.5,5523,31377,1149,8307,48711
PU,0.2,236,12040,101,2753,15755
PU,1.5,1126,18282,681,3223,24193
PU,0.4,308,39468,1420,4596,46881
PU,0.5,449,13316,964,1960,17019
PR,0.6,370,16216,909,3851,22671
PU,1.3,1099,13614,824,3517,19611
TM,0.1,1249,108494,961,18699,135362
PU,0.9,150,11673,169,1150,13255
PU,0.2,322,21972,508,3465,27099
PU,0.1,1629,11791,1793,3549,19833
PU,0.6,295,7238,575,1465,9919
PU,1.6,432,20258,482,3091,24558
PU,0.7,1237,11135,1157,1971,15911
PU,1.3,2820,91955,1101,13803,113540
PU,0.2,952,11614,2047,2804,18391
PU,2.1,2579,81284,564,17192,114933
PU,1.3,1444,70392,1638,11605,88522
PU,0.2,643,17196,20,3310,21287
PU,0.2,1198,7442,1533,2883,13660
PU,0.6,1359,9559,189,1855,13519
PU,0.5,1601,12335,178,2774,17578
PU,1,189,13315,171,1786,15802
PU,0.1,2380,18777,1015,4469,27659
PU,0.3,152,8518,311,1295,10637
PU,0.1,583,27502,621,3463,33112
PU,0.3,568,25454,1112,3867,31720
PU,3.7,130,14901,61,3310,22029
PU,1.4,94,13057,488,1135,14930
PU,0.3,1872,20275,37,1558,23958
PU,1.1,229,15456,281,2767,19652
PU,0.7,618,45495,227,7331,56668
PU,2,349,34077,506,3959,40888
PU,0.5,1212,25242,401,4923,33345
PU,0.4,123,7878,792,1218,10262
PU,0.4,311,8888,70,937,10462
PU,4.1,282,9493,877,1393,12464
PU,0.6,251,16664,633,2496,20437
PU,0.5,754,17770,98,3732,23608
TM,8.4,1083,83457,775,12149,100825
PU,0.6,1086,10346,612,2343,14926
PU,0.2,1945,87348,773,16017,112890
PU,0.9,786,46852,698,8261,59118
PU,0.3,1270,10409,224,3308,16373
PU,2.6,1098,21130,209,4793,29097
PU,2.6,2041,63313,635,15306,85310
PU,0.5,1467,6531,2019,2093,12539
PU,0.9,2347,18338,1516,3463,26515
PU,1.8,1843,72411,1266,13796,92298
PU,1.5,534,35186,300,4427,41546
PR,1.2,475,18507,684,2513,23357
PU,0.8,337,17923,601,3030,22674
PU,0.2,1672,25314,2165,5525,35657
PU,4.3,780,40267,524,6783,50326
PU,0.6,572,19675,2861,3716,27671
PU,0.4,876,7511,1666,2092,12562
PU,0.5,2069,8822,1654,3242,16484
PU,0.3,2439,24406,1113,7880,37461
PU,0.2,762,15098,728,2155,19585
PU,2.3,1886,44506,299,9212,57015
PU,0.3,472,42382,516,3854,48035
PU,0.3,479,20192,360,2711,24066
PU,1,852,24609,1541,2972,30983
PU,3.2,683,36665,297,6165,45623
PU,0.7,1543,52429,389,13073,71825
PU,0.2,1411,39157,740,8803,54639
PU,0.4,1687,19929,37,3467,25559
PU,1.9,866,19279,2689,3594,27640
PU,2.1,866,18937,636,2715,24543
PU,0.8,744,9844,603,2933,15066
PU,0.6,470,20559,520,2741,24681
PU,0.4,5240,60146,1771,10548,81152
PU,0.3,2235,22142,2295,4552,32062
PU,1.1,1670,24292,1238,4975,32860
PU,0.6,723,19817,2011,4183,27518
PU,3.9,1999,95952,1114,17152,124460
PU,1.4,980,49076,1089,7985,61571
PU,0.5,655,10528,1307,1331,14250
PU,0.2,481,12182,1456,1593,16124
PU,0.4,1110,13034,941,4007,20114
PU,1.4,2283,65868,607,17716,90733
PU,0.2,581,36249,477,5854,44632
PU,0.8,353,19011,1419,3914,26214
PU,0.7,805,9822,1571,2317,15106
PU,4.3,235,13476,435,2142,16924
PU,0.2,339,17196,2767,2546,23601
PU,0.3,258,7708,2876,1748,12791
PU,0.8,282,13467,454,3426,17982
PU,0.1,521,18033,515,3572,23266
PU,3.1,114,13122,227,1846,15529
PU,1.2,127,10634,676,1628,13448
PU,0.7,175,6806,409,1056,8760
PU,0.8,106,9869,821,1079,12160
PU,1.6,242,11412,821,1764,14686
PU,2,111,18939,345,2276,22158
PU,3.8,98,14324,1006,1352,17103
PU,1.9,275,14121,635,1517,16933
PU,1.8,141,13299,1217,1459,16378
PU,4.1,258,18897,136,2350,22208
PU,0.3,823,11893,411,2535,16241
PU,0.4,2692,17938,799,6310,28485
PU,0.1,637,10619,1579,2271,16275
PU,0.6,1517,16398,1136,4394,24274
PU,2.1,427,17745,452,3173,22536
PU,1.8,322,12198,153,1437,14861
PU,4.1,68,8166,201,1133,9731
PU,1.4,562,17440,674,5860,25509
PU,0.7,72,18091,317,3386,22761
PU,2.2,126,7938,553,1513,10299
PU,1.2,257,12370,654,1689,15444
PU,2.8,431,16315,451,3028,20787
PU,4,156,13036,120,1643,15655
PU,0.4,237,13573,445,2509,17044
PU,0.4,1914,30154,121,6886,39968
PU,0.1,861,22153,1055,3944,28697
PU,1.7,259,11758,443,1176,14008
PU,1.4,316,10679,378,2411,14134
PU,0.2,122,5584,694,1012,7687
PU,2.9,468,10975,203,2712,15301
PU,1.5,1005,12733,1116,2350,17954
PU,1.1,279,23680,120,3789,28394
PU,2.4,107,11530,884,1467,14196
PU,0.3,395,19056,200,3850,24008
PU,0.4,168,20884,235,3115,24910
PU,3.5,166,14864,486,1922,17808
PU,0.6,339,25850,90,3845,30825
PU,0.3,838,14413,465,3109,19866
PU,2.6,185,8484,155,1349,10598
PU,1.2,283,13301,346,3064,17736
PR,1.7,289,15921,100,3182,20123
PU,3.1,174,9824,481,1735,12710
PU,1.5,253,9662,365,1689,12646
PU,0.8,1365,10263,3541,1914,17599
PU,1.6,1443,17616,859,2259,22504
PU,0.5,423,5297,1387,1030,8483
PU,0.6,1746,18878,680,4218,26746
PU,0.3,442,13004,1409,1254,16736
PU,0.2,770,33169,471,4660,39810
PU,0.7,303,14131,341,1857,17220
PU,2.1,96,7388,717,862,9211
PU,0.3,268,23705,467,3258,27987
PU,1.8,593,40423,308,7531,51268
PU,0.9,343,18490,474,3554,23942
PU,0.8,498,9628,751,2103,13323
PU,1.6,218,5792,218,803,7099
PU,1.2,263,10896,447,1538,13403
PU,0.5,181,6553,372,763,8793
PU,1.6,688,57361,291,8178,68656
PU,0.4,418,5040,637,724,7088
PU,1.5,125,13350,469,1192,15455
PU,0.9,1615,75002,685,18771,103077
